年月日,開盤價,最高價,最低價,收盤價,成交量
2020/11/19,13775.26 ,13785.92 ,13700.04 ,13722.43 ,6243552.00
2020/11/20,13702.59 ,13726.22 ,13666.07 ,13716.44 ,5986755.00
2020/11/23,13793.55 ,13921.16 ,13793.55 ,13878.01 ,7028271.00
2020/11/24,13918.84 ,13951.17 ,13798.32 ,13807.13 ,7633875.00
2020/11/25,13860.95 ,13893.20 ,13731.81 ,13738.83 ,7757213.00
2020/11/26,13763.79 ,13856.76 ,13763.79 ,13845.66 ,6910524.00
2020/11/27,13833.21 ,13885.01 ,13811.81 ,13867.09 ,7292147.00
2020/11/30,13917.65 ,13969.39 ,13722.89 ,13722.89 ,10553313.00
2020/12/01,13810.55 ,13885.67 ,13749.71 ,13885.67 ,9170668.00
2020/12/02,13970.51 ,13995.70 ,13894.70 ,13989.14 ,8956941.00
2020/12/03,13988.49 ,14049.58 ,13940.07 ,13977.09 ,8380406.00
2020/12/04,14010.17 ,14149.56 ,14010.17 ,14132.44 ,9326108.00
2020/12/07,14230.00 ,14306.87 ,14142.02 ,14256.60 ,10622974.00
2020/12/08,14251.94 ,14367.00 ,14184.58 ,14360.40 ,8745552.00
2020/12/09,14336.69 ,14427.41 ,14336.69 ,14390.14 ,8859421.00
2020/12/10,14295.15 ,14319.38 ,14191.85 ,14249.49 ,8817637.00
2020/12/11,14298.59 ,14353.17 ,14081.42 ,14261.69 ,9039771.00
2020/12/14,14238.92 ,14270.34 ,14182.25 ,14211.05 ,7705137.00
2020/12/15,14206.33 ,14256.55 ,14053.35 ,14068.52 ,8827642.00
2020/12/16,14145.24 ,14339.50 ,14145.24 ,14304.46 ,7048147.00
2020/12/17,14326.16 ,14338.40 ,14213.49 ,14258.93 ,6227173.00
2020/12/18,14268.13 ,14329.12 ,14245.60 ,14249.96 ,7440315.00
2020/12/21,14273.79 ,14384.96 ,14166.89 ,14384.96 ,8527792.00
2020/12/22,14348.11 ,14411.93 ,14175.69 ,14177.46 ,10869811.00
2020/12/23,14180.70 ,14247.79 ,14134.87 ,14223.09 ,7727365.00
2020/12/24,14256.29 ,14324.42 ,14256.29 ,14280.28 ,7461043.00
2020/12/25,14306.98 ,14400.83 ,14296.97 ,14331.42 ,7354213.00
2020/12/28,14363.45 ,14483.07 ,14363.45 ,14483.07 ,8522466.00
2020/12/29,14500.91 ,14547.07 ,14435.03 ,14472.05 ,9485864.00
2020/12/30,14485.97 ,14695.44 ,14476.69 ,14687.70 ,8345169.00
2020/12/31,14704.53 ,14760.06 ,14646.33 ,14732.53 ,8098938.00
2021/01/04,14720.25 ,14937.13 ,14720.25 ,14902.03 ,9339297.00
2021/01/05,14913.64 ,15000.03 ,14861.99 ,15000.03 ,9179847.00
2021/01/06,15145.85 ,15197.68 ,14837.00 ,14983.13 ,11485851.00
