日期,開盤價,最高價,最低價,收盤價,成交量
 2012/06/01,7200,7210,7075,7100,148958
 2012/06/04,6927,6930,6832,6866,136278
 2012/06/05,6949,7005,6925,6973,119982
 2012/06/06,6989,7055,6958,7013,119994
 2012/06/07,7135,7146,7020,7045,109350
 2012/06/08,7007,7040,6946,6953,113544
 2012/06/11,7090,7136,7059,7093,104743
 2012/06/12,6976,7038,6962,7019,91231
 2012/06/13,7049,7070,7002,7050,92489
 2012/06/14,7042,7107,7033,7067,92161
 2012/06/15,7050,7160,7042,7158,105833
 2012/06/18,7300,7323,7244,7264,92004
 2012/06/19,7266,7270,7234,7267,80407
 2012/06/20,7293,7320,7281,7311,50941
 2012/06/21,7160,7163,7093,7116,87665
 2012/06/22,7002,7047,6995,7038,86796
 2012/06/25,6952,6978,6938,6948,79925
 2012/06/26,6944,6960,6923,6939,61535
 2012/06/27,6918,7005,6898,6986,89541
 2012/06/28,7021,7037,6962,6999,93508
 2012/06/29,6982,7128,6981,7114,125080
 2012/07/02,7133,7152,7107,7135,61181
 2012/07/03,7177,7280,7161,7228,100095
 2012/07/04,7268,7327,7251,7290,83106
 2012/07/05,7303,7321,7277,7298,61592
 2012/07/06,7288,7319,7237,7273,88904
 2012/07/09,7204,7272,7202,7236,78681
 2012/07/10,7251,7270,7162,7179,111304
 2012/07/11,7138,7204,7133,7186,84861
 2012/07/12,7186,7188,7067,7076,120546
 2012/07/13,7070,7108,7045,7071,96058
 2012/07/16,7089,7110,7020,7056,98746
 2012/07/17,7048,7136,7030,7110,123931
 2012/07/18,7110,7117,7056,7059,52519
 2012/07/19,6974,7032,6945,7025,105346
 2012/07/20,7022,7039,6996,7012,72895
 2012/07/23,6915,6932,6845,6874,89331
 2012/07/24,6862,6889,6850,6873,70435
 2012/07/25,6782,6912,6775,6844,109485
 2012/07/26,6856,6905,6832,6876,89439
 2012/07/27,6969,7031,6946,7031,101947
 2012/07/30,7082,7102,7055,7077,73940
 2012/07/31,7102,7179,7061,7156,111301
 2012/08/01,7139,7212,7135,7194,91583
 2012/08/03,7140,7164,7116,7140,77401
 2012/08/06,7278,7314,7236,7239,87031
 2012/08/07,7233,7263,7223,7235,62956
 2012/08/08,7306,7336,7277,7299,103055
 2012/08/09,7371,7452,7346,7441,125910
 2012/08/10,7453,7465,7425,7444,68582
 2012/08/13,7444,7475,7430,7454,67806
 2012/08/14,7484,7545,7451,7498,113777
 2012/08/15,7489,7497,7433,7468,43962
 2012/08/16,7460,7520,7441,7493,91628
 2012/08/17,7503,7511,7467,7472,66804
 2012/08/20,7464,7475,7398,7441,85890
 2012/08/21,7465,7553,7458,7516,104595
 2012/08/22,7494,7508,7453,7491,73832
 2012/08/23,7476,7534,7468,7514,92576
 2012/08/24,7450,7490,7442,7488,63615
 2012/08/27,7535,7551,7452,7454,85683
 2012/08/28,7435,7443,7375,7400,90608
 2012/08/29,7404,7413,7381,7403,48276
 2012/08/30,7360,7395,7341,7367,84738
 2012/08/31,7375,7420,7363,7383,75810
 2012/09/03,7370,7465,7352,7443,95691
 2012/09/04,7443,7470,7430,7449,49798
 2012/09/05,7401,7411,7341,7341,89655
 2012/09/06,7332,7368,7286,7332,88818
 2012/09/07,7471,7479,7404,7420,86302
 2012/09/10,7421,7469,7414,7455,67675
 2012/09/11,7437,7490,7436,7466,59702
 2012/09/12,7525,7586,7510,7586,92821
 2012/09/13,7592,7609,7571,7576,65782
 2012/09/14,7698,7758,7671,7739,103221
 2012/09/17,7739,7767,7726,7753,70895
 2012/09/18,7742,7768,7713,7750,76925
 2012/09/19,7757,7795,7739,7767,46387
 2012/09/20,7782,7786,7716,7749,81485
 2012/09/21,7765,7783,7748,7762,61018
 2012/09/24,7747,7805,7685,7776,98891
 2012/09/25,7792,7810,7744,7755,68390
 2012/09/26,7691,7725,7670,7703,74746
 2012/09/27,7683,7730,7679,7727,67769
 2012/09/28,7726,7748,7666,7720,88739
 2012/10/01,7690,7706,7666,7685,50167
 2012/10/02,7716,7748,7693,7730,67005
 2012/10/03,7740,7742,7687,7705,58958
 2012/10/04,7707,7715,7633,7706,103623
 2012/10/05,7711,7733,7680,7700,74558
 2012/10/08,7677,7692,7612,7625,84411
 2012/10/09,7629,7647,7596,7597,86468
 2012/10/11,7483,7506,7442,7443,95582
 2012/10/12,7434,7463,7385,7414,92390
 2012/10/15,7396,7434,7385,7423,74135
 2012/10/16,7460,7462,7435,7458,62568
 2012/10/17,7510,7525,7451,7460,50723
 2012/10/18,7467,7479,7444,7452,57034
 2012/10/19,7468,7469,7385,7385,78020
 2012/10/22,7300,7360,7289,7346,71985
 2012/10/23,7342,7350,7293,7297,65177
 2012/10/24,7230,7347,7225,7302,100109
 2012/10/25,7303,7319,7251,7258,75504
 2012/10/26,7226,7287,7090,7092,124395
 2012/10/29,7110,7153,7091,7122,86593
 2012/10/30,7170,7220,7141,7161,104953
 2012/10/31,7192,7212,7125,7140,89170
 2012/11/01,7098,7192,7029,7172,140249
 2012/11/02,7214,7225,7182,7201,74949
 2012/11/05,7190,7222,7146,7180,85380
 2012/11/06,7180,7259,7163,7259,78730
 2012/11/07,7205,7293,7192,7257,138988
 2012/11/08,7168,7220,7160,7200,87322
 2012/11/09,7136,7301,7126,7285,125251
 2012/11/12,7265,7304,7238,7241,73703
 2012/11/13,7227,7239,7092,7096,116093
 2012/11/14,7081,7150,7077,7128,85707
 2012/11/15,7095,7156,7036,7121,110846
 2012/11/16,7116,7179,7082,7107,106108
 2012/11/19,7147,7168,7120,7123,85220
 2012/11/20,7174,7181,7131,7160,73796
 2012/11/21,7176,7178,7051,7084,63354
 2012/11/22,7096,7115,7081,7089,64895
 2012/11/23,7123,7327,7120,7322,120286
 2012/11/26,7362,7409,7357,7388,66389
 2012/11/27,7410,7435,7380,7424,76309
 2012/11/28,7407,7439,7390,7428,62717
 2012/11/29,7470,7539,7465,7525,98874
 2012/11/30,7535,7605,7524,7593,97251
 2012/12/03,7596,7647,7560,7599,94211
 2012/12/04,7560,7603,7548,7594,76536
 2012/12/05,7593,7678,7576,7653,96482
 2012/12/06,7654,7673,7623,7640,68952
 2012/12/07,7658,7691,7642,7660,73118
 2012/12/10,7680,7686,7600,7623,76659
 2012/12/11,7639,7645,7579,7638,78461
 2012/12/12,7657,7725,7652,7698,89122
 2012/12/13,7718,7778,7708,7772,82175
 2012/12/14,7738,7747,7701,7703,84818
 2012/12/17,7690,7707,7615,7652,100268
 2012/12/18,7660,7665,7621,7655,70612
 2012/12/19,7698,7709,7655,7659,46969
 2012/12/20,7631,7633,7556,7560,79058
 2012/12/21,7565,7578,7472,7491,107770
 2012/12/22,7556,7558,7523,7525,30095
 2012/12/24,7500,7564,7491,7518,51155
 2012/12/25,7555,7688,7538,7674,85986
 2012/12/26,7651,7685,7623,7634,65775
 2012/12/27,7602,7666,7584,7629,80035
 2012/12/28,7650,7708,7647,7675,69670
 2013/01/02,7720,7804,7702,7772,89092
 2013/01/03,7811,7836,7803,7823,63225
 2013/01/04,7800,7809,7751,7774,71943
 2013/01/07,7743,7774,7700,7742,81337
 2013/01/08,7732,7747,7673,7705,90290
 2013/01/09,7686,7774,7682,7740,88574
 2013/01/10,7762,7846,7759,7836,122619
 2013/01/11,7863,7867,7796,7799,90984
 2013/01/14,7730,7828,7705,7827,111839
 2013/01/15,7800,7812,7728,7741,99174
 2013/01/16,7750,7769,7698,7717,58511
 2013/01/17,7702,7767,7582,7612,146042
 2013/01/18,7692,7723,7666,7711,86279
 2013/01/21,7683,7736,7645,7703,94447
 2013/01/22,7722,7765,7672,7751,106112
 2013/01/23,7777,7788,7714,7723,77820
 2013/01/24,7688,7728,7625,7682,121098
 2013/01/25,7662,7688,7612,7649,98883
 2013/01/28,7620,7731,7620,7730,92771
 2013/01/29,7759,7822,7736,7819,99284
 2013/01/30,7846,7859,7791,7800,100596
 2013/01/31,7815,7850,7778,7848,84766
 2013/02/01,7859,7901,7825,7858,87506
 2013/02/04,7878,7952,7872,7940,87092
 2013/02/05,7885,7913,7868,7905,74233
 2013/02/06,7916,7952,7891,7900,72671
 2013/02/18,7967,7978,7913,7935,77582
 2013/02/19,7950,7970,7941,7959,60019
 2013/02/20,8008,8027,7983,8023,52976
 2013/02/21,7987,7998,7948,7949,63895
 2013/02/22,7939,7976,7903,7951,85371
 2013/02/23,7974,7994,7970,7993,27144
 2013/02/25,7985,7992,7935,7941,72527
 2013/02/26,7893,7920,7862,7885,82377
 2013/02/27,7907,7909,7862,7879,53936
 2013/03/01,7945,7950,7920,7936,44461
 2013/03/04,7935,7937,7827,7845,94448
 2013/03/05,7867,7931,7862,7913,74896
 2013/03/06,7980,7998,7935,7947,83576
 2013/03/07,7933,7982,7921,7938,72539
 2013/03/08,7968,8032,7965,8008,81964
 2013/03/11,8010,8068,7993,8043,79351
 2013/03/12,8040,8058,7983,7999,75116
 2013/03/13,8000,8035,7951,7990,106264
 2013/03/14,7997,7997,7941,7953,80451
 2013/03/15,7969,7986,7906,7910,108975
 2013/03/18,7857,7868,7790,7792,102089
 2013/03/19,7838,7852,7816,7833,76505
 2013/03/20,7780,7842,7775,7796,52532
 2013/03/21,7803,7816,7781,7797,68584
 2013/03/22,7780,7814,7764,7776,63792
 2013/03/25,7842,7865,7826,7851,60627
 2013/03/26,7845,7848,7822,7836,52993
 2013/03/27,7841,7876,7827,7860,74979
 2013/03/28,7859,7875,7820,7842,64977
 2013/03/29,7884,7935,7871,7923,73177
 2013/04/01,7938,7942,7907,7920,45554
 2013/04/02,7907,7927,7875,7905,80431
 2013/04/03,7944,7953,7910,7934,67602
