年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2006/01/02,6457.61,6492.92,6424.03,6462.06,4697272
2006/01/03,6476.2,6591.77,6457.09,6591.77,5214136
2006/01/04,6658.32,6670.96,6579.66,6616.44,5910064
2006/01/05,6669.8,6717.12,6666.84,6709.87,5851695
2006/01/06,6757.41,6761.01,6676.65,6694.82,5904757
2006/01/09,6752.09,6763.86,6708.59,6742.39,5368690
2006/01/10,6751.56,6751.56,6678.84,6707.4,4473047
2006/01/11,6702.47,6741.92,6650.61,6735.89,5237215
2006/01/12,6782.15,6797.2,6725.57,6725.61,6004447
2006/01/13,6729.58,6729.58,6669.64,6682.35,3806146
2006/01/16,6680.88,6733.52,6664.8,6724.18,3088712
2006/01/17,6752.24,6775.73,6711.04,6711.04,3908191
2006/01/18,6620.77,6629.44,6467.73,6498.92,4604046
2006/01/19,6514.71,6545.89,6442.78,6512.29,3911936
2006/01/20,6571.64,6571.64,6475.3,6486.63,2935205
2006/01/23,6385.88,6417.72,6373.63,6381.97,2777545
2006/01/24,6418.58,6478.5,6418.58,6451.94,2638290
2006/01/25,6500.63,6536.89,6477.34,6532.18,2775059
2006/02/03,6592.19,6626.43,6547.17,6594.6,3601717
2006/02/06,6568.35,6719.96,6530.8,6719.96,3930167
2006/02/07,6692.42,6747.43,6681.53,6720.08,4268640
2006/02/08,6712.87,6715.18,6623.23,6624.11,3101965
2006/02/09,6696.65,6700.86,6620.32,6630.13,3576195
2006/02/10,6652.33,6652.33,6574.01,6594.92,3472885
2006/02/13,6591.99,6623.55,6557.76,6562.29,2988050
2006/02/14,6553.28,6613.86,6540.71,6612.97,2814676
2006/02/15,6628.98,6659.52,6592.94,6598.49,3151732
2006/02/16,6661.3,6701.74,6647.03,6683.93,3444106
2006/02/17,6723.66,6726.73,6665.63,6673.75,3282007
2006/02/20,6652.55,6697.31,6631.81,6686.55,2779192
2006/02/21,6708.21,6717.53,6631.51,6631.51,2730164
2006/02/22,6634.83,6650.71,6503.7,6530.7,3294358
2006/02/23,6523.85,6528.5,6466.21,6474.69,3005238
2006/02/24,6474.05,6538.22,6473.8,6538.22,2792814
2006/02/27,6496.55,6567.91,6481.99,6561.63,2669270
2006/03/01,6518,6636.92,6518,6613.39,3085097
2006/03/02,6678.46,6685.45,6637.9,6642.96,3096023
2006/03/03,6643.79,6659.44,6543.43,6553.66,3028547
2006/03/06,6547.73,6582.21,6531.5,6575.78,2289559
2006/03/07,6553.97,6557.15,6494.15,6494.15,2514583
2006/03/08,6487.07,6521.27,6436.14,6459.57,2681291
2006/03/09,6476.96,6505.56,6465.23,6486.47,2176550
2006/03/10,6492.04,6528.56,6473.18,6490.68,2339071
2006/03/13,6520.36,6551.13,6502.51,6544.63,2393039
2006/03/14,6532.25,6545.12,6444.14,6460.01,2663918
2006/03/15,6516.14,6534.61,6478.71,6518.7,2755965
2006/03/16,6528.14,6594.18,6504.98,6504.98,3415296
2006/03/17,6507.55,6530.43,6471.71,6528.57,2710641
2006/03/20,6554.18,6569.53,6510.58,6516.52,2737960
2006/03/21,6525.3,6536.01,6458.03,6458.03,2437965
2006/03/22,6419.46,6441.27,6387.36,6391.26,2434069
2006/03/23,6412.66,6418.48,6344.73,6364.6,2376518
2006/03/24,6366.96,6401.62,6351.89,6376.62,2281254
2006/03/27,6408.2,6430.23,6399.08,6421.85,2117775
2006/03/28,6433.23,6469.67,6424.94,6453.85,2089763
2006/03/29,6447.7,6498.03,6444.4,6498.03,2420386
2006/03/30,6540.81,6559.21,6504.75,6546.06,3353953
2006/03/31,6564.86,6632.63,6564.86,6613.97,3204345
2006/04/03,6627.32,6672.11,6615.98,6660.76,3275646
2006/04/04,6679.82,6684.1,6651.96,6665.6,3083142
2006/04/06,6724.97,6760.82,6710.68,6760.82,3467033
2006/04/07,6758.82,6802.94,6722.39,6781.94,3438064
2006/04/10,6759.38,6815.73,6758.07,6780.64,3173306
2006/04/11,6772.96,6775.65,6723.23,6757.17,3137051
2006/04/12,6710.62,6813.66,6709.83,6808.5,3891090
2006/04/13,6850.19,6868.74,6828.95,6855.74,4529750
2006/04/14,6888.18,6952.54,6876.47,6952.54,4452889
2006/04/17,6982.47,7015.91,6950.58,7000.09,4915510
2006/04/18,7007.45,7007.45,6918.46,6989.46,3966008
2006/04/19,7073.32,7093.43,7038.78,7038.78,4811062
2006/04/20,7061.38,7107.68,7030.89,7102.74,4383687
2006/04/21,7130.68,7160.74,7092.93,7093.05,5344560
2006/04/24,7066.19,7141.29,7057.19,7096.04,4007538
2006/04/25,7125.9,7166.47,7052.9,7059.94,4745654
