年月日,開盤價,最高價,最低價,收盤價,成交量,成交值
2012/06/01,41.00 ,41.19 ,40.15 ,40.15 ,36539.00 ,3146215.00
2012/06/04,39.07 ,39.40 ,38.08 ,38.60 ,45093.00 ,3705385.00
2012/06/05,39.21 ,39.54 ,38.36 ,38.69 ,28335.00 ,2335503.00
2012/06/06,39.26 ,39.30 ,38.46 ,38.97 ,24954.00 ,2064016.00
2012/06/07,40.01 ,40.01 ,39.30 ,39.49 ,27580.00 ,2324375.00
2012/06/08,38.88 ,39.21 ,38.22 ,38.46 ,31650.00 ,2595841.00
2012/06/11,39.07 ,39.63 ,39.07 ,39.44 ,24849.00 ,2075712.00
2012/06/12,38.60 ,38.97 ,38.55 ,38.83 ,23659.00 ,1948297.00
2012/06/13,39.11 ,39.11 ,38.60 ,38.60 ,20105.00 ,1654685.00
2012/06/14,38.69 ,38.93 ,38.41 ,38.64 ,14463.00 ,1189873.00
2012/06/15,38.88 ,39.77 ,38.74 ,39.77 ,31402.00 ,2631143.00
2012/06/18,40.76 ,41.09 ,40.67 ,40.72 ,30829.00 ,2675176.00
2012/06/19,40.90 ,40.90 ,40.24 ,40.62 ,24647.00 ,2125569.00
2012/06/20,40.76 ,41.00 ,40.48 ,40.95 ,25342.00 ,2194433.00
2012/06/21,40.95 ,40.95 ,40.43 ,40.53 ,20145.00 ,1738990.00
2012/06/22,40.10 ,40.81 ,39.96 ,40.76 ,20071.00 ,1721861.00
2012/06/25,40.57 ,40.86 ,40.01 ,40.72 ,22522.00 ,1940871.00
2012/06/26,40.57 ,40.57 ,40.24 ,40.48 ,25077.00 ,2151933.00
2012/06/27,40.43 ,40.90 ,40.43 ,40.72 ,18155.00 ,1571475.00
2012/06/28,41.37 ,41.61 ,41.19 ,41.37 ,30590.00 ,2689575.00
2012/06/29,41.61 ,42.27 ,41.47 ,42.08 ,34617.00 ,3083530.00
2012/07/02,42.27 ,42.36 ,41.80 ,41.89 ,23144.00 ,2067584.00
2012/07/03,41.89 ,42.65 ,41.89 ,42.60 ,34454.00 ,3100353.00
2012/07/04,42.69 ,43.30 ,42.41 ,43.30 ,37675.00 ,3428055.00
2012/07/05,43.07 ,43.40 ,42.74 ,43.02 ,17616.00 ,1611199.00
2012/07/06,42.97 ,43.21 ,42.32 ,43.02 ,22171.00 ,2015689.00
2012/07/09,42.74 ,43.26 ,42.60 ,43.26 ,17953.00 ,1638800.00
2012/07/10,43.30 ,43.54 ,42.08 ,42.41 ,37580.00 ,3405659.00
2012/07/11,41.56 ,42.36 ,41.52 ,42.32 ,20515.00 ,1831312.00
2012/07/12,41.99 ,42.36 ,41.00 ,41.00 ,36874.00 ,3259753.00
2012/07/13,40.90 ,41.14 ,40.72 ,40.95 ,25431.00 ,2211374.00
2012/07/16,41.42 ,41.52 ,41.04 ,41.19 ,11685.00 ,1025725.00
2012/07/17,41.19 ,41.80 ,41.00 ,41.66 ,18398.00 ,1623129.00
2012/07/18,41.42 ,41.42 ,40.95 ,40.95 ,25496.00 ,2227976.00
2012/07/19,41.66 ,41.66 ,41.28 ,41.56 ,16462.00 ,1451289.00
2012/07/20,41.42 ,42.17 ,41.37 ,42.17 ,17997.00 ,1601255.00
2012/07/23,41.61 ,41.61 ,40.62 ,40.76 ,27095.00 ,2361655.00
2012/07/24,40.62 ,40.62 ,40.01 ,40.29 ,26416.00 ,2258269.00
2012/07/25,38.17 ,39.07 ,38.13 ,38.55 ,66421.00 ,5458444.00
2012/07/26,38.55 ,38.74 ,37.75 ,37.89 ,66987.00 ,5415886.00
2012/07/27,39.02 ,39.30 ,38.46 ,39.30 ,37455.00 ,3103078.00
2012/07/30,39.30 ,39.30 ,38.83 ,38.97 ,29193.00 ,2422763.00
2012/07/31,38.60 ,40.10 ,38.60 ,39.82 ,29937.00 ,2518125.00
2012/08/01,40.01 ,40.10 ,39.35 ,39.92 ,27796.00 ,2349777.00
2012/08/03,38.60 ,39.11 ,37.19 ,38.41 ,59067.00 ,4781628.00
2012/08/06,41.09 ,41.09 ,40.48 ,41.09 ,69231.00 ,6020170.00
2012/08/07,40.95 ,41.09 ,40.01 ,41.09 ,32477.00 ,2803430.00
2012/08/08,41.33 ,41.47 ,40.95 ,41.09 ,27285.00 ,2389368.00
2012/08/09,41.42 ,43.07 ,41.37 ,42.83 ,77166.00 ,6961021.00
2012/08/10,43.91 ,45.28 ,43.91 ,44.43 ,74735.00 ,6311956.00
2012/08/13,45.54 ,45.54 ,44.49 ,44.70 ,31984.00 ,2725835.00
2012/08/14,44.75 ,45.43 ,44.70 ,44.75 ,40206.00 ,3435633.00
2012/08/15,44.91 ,44.96 ,44.12 ,44.49 ,30822.00 ,2606487.00
2012/08/16,44.75 ,44.91 ,44.22 ,44.28 ,22476.00 ,1903207.00
2012/08/17,44.38 ,45.07 ,44.33 ,44.49 ,25349.00 ,2148945.00
2012/08/20,44.96 ,45.01 ,44.54 ,44.64 ,18526.00 ,1573171.00
2012/08/21,45.01 ,45.96 ,45.01 ,45.22 ,51487.00 ,4444534.00
2012/08/22,45.12 ,45.43 ,44.91 ,45.33 ,19916.00 ,1709387.00
2012/08/23,45.28 ,45.86 ,45.22 ,45.86 ,28541.00 ,2472188.00
2012/08/24,45.80 ,45.96 ,45.22 ,45.75 ,32248.00 ,2797389.00
2012/08/27,46.33 ,46.43 ,45.86 ,46.07 ,32248.00 ,2825777.00
2012/08/28,45.33 ,45.64 ,44.17 ,44.33 ,52284.00 ,4454738.00
2012/08/29,43.96 ,44.64 ,43.96 ,44.22 ,34919.00 ,2937863.00
2012/08/30,43.70 ,45.17 ,43.70 ,45.01 ,56666.00 ,4796137.00
2012/08/31,43.75 ,45.01 ,43.75 ,44.64 ,39672.00 ,3355383.00
2012/09/03,47.75 ,47.75 ,46.59 ,47.38 ,107785.00 ,9688022.00
2012/09/04,47.65 ,48.17 ,47.22 ,47.33 ,50380.00 ,4562557.00
2012/09/05,47.33 ,47.33 ,46.75 ,46.75 ,37312.00 ,3329383.00
2012/09/06,47.17 ,47.33 ,46.43 ,46.54 ,36957.00 ,3287568.00
2012/09/07,47.38 ,47.38 ,46.80 ,46.86 ,32920.00 ,2941283.00
2012/09/10,46.86 ,47.07 ,46.75 ,46.75 ,21835.00 ,1943691.00
2012/09/11,46.54 ,48.01 ,46.49 ,47.59 ,47320.00 ,4270298.00
2012/09/12,47.91 ,49.07 ,47.80 ,48.96 ,65249.00 ,6033497.00
2012/09/13,49.38 ,49.65 ,48.70 ,48.96 ,43641.00 ,4071721.00
2012/09/14,50.54 ,51.59 ,50.17 ,51.07 ,75812.00 ,7340594.00
2012/09/17,51.59 ,51.80 ,50.80 ,51.33 ,42797.00 ,4165730.00
2012/09/18,50.80 ,51.01 ,50.38 ,50.59 ,34490.00 ,3317438.00
2012/09/19,50.59 ,51.01 ,49.86 ,51.01 ,34629.00 ,3320773.00
2012/09/20,50.96 ,50.96 ,50.33 ,50.54 ,23158.00 ,2224994.00
2012/09/21,51.01 ,51.17 ,50.65 ,50.96 ,34484.00 ,3335693.00
2012/09/24,50.91 ,50.91 ,50.38 ,50.44 ,27300.00 ,2621229.00
2012/09/25,50.12 ,50.44 ,48.96 ,49.22 ,56193.00 ,5295727.00
2012/09/26,48.33 ,48.44 ,47.33 ,47.49 ,80333.00 ,7292367.00
2012/09/27,47.17 ,48.01 ,47.12 ,47.49 ,45548.00 ,4114084.00
2012/09/28,47.65 ,48.44 ,47.65 ,48.44 ,37374.00 ,3416389.00
2012/10/01,48.44 ,48.44 ,47.80 ,48.07 ,15773.00 ,1440517.00
2012/10/02,47.91 ,48.33 ,47.59 ,48.28 ,27954.00 ,2551828.00
2012/10/03,48.80 ,48.80 ,48.12 ,48.12 ,23530.00 ,2161813.00
2012/10/04,48.01 ,48.17 ,47.54 ,47.96 ,21051.00 ,1913780.00
2012/10/05,47.80 ,48.17 ,47.49 ,47.59 ,31779.00 ,2880695.00
2012/10/08,47.38 ,47.38 ,46.65 ,46.70 ,31124.00 ,2768978.00
2012/10/09,46.86 ,47.38 ,46.75 ,47.01 ,36162.00 ,3228946.00
2012/10/11,45.80 ,46.33 ,45.17 ,45.28 ,70984.00 ,6151174.00
2012/10/12,45.75 ,45.91 ,45.17 ,45.70 ,36458.00 ,3149486.00
2012/10/15,46.07 ,46.22 ,45.75 ,46.07 ,19331.00 ,1686860.00
2012/10/16,46.22 ,46.54 ,45.96 ,46.12 ,25449.00 ,2236994.00
2012/10/17,46.33 ,46.54 ,45.86 ,46.01 ,26476.00 ,2321033.00
2012/10/18,46.33 ,46.59 ,46.07 ,46.07 ,26165.00 ,2303070.00
2012/10/19,45.75 ,45.75 ,45.12 ,45.17 ,96985.00 ,8320317.00
2012/10/22,44.22 ,44.86 ,44.22 ,44.80 ,34566.00 ,2925951.00
2012/10/23,44.80 ,45.07 ,44.38 ,44.59 ,27551.00 ,2335073.00
2012/10/24,44.17 ,45.07 ,43.96 ,44.75 ,33778.00 ,2855741.00
2012/10/25,44.75 ,45.28 ,44.75 ,44.86 ,35313.00 ,3020438.00
2012/10/26,44.91 ,45.70 ,44.38 ,44.38 ,45487.00 ,3886874.00
2012/10/29,44.75 ,44.91 ,44.22 ,44.22 ,38984.00 ,3300016.00
2012/10/30,44.86 ,46.49 ,44.75 ,46.33 ,72714.00 ,6321569.00
2012/10/31,47.91 ,47.91 ,46.70 ,46.70 ,88998.00 ,7968975.00
2012/11/01,46.70 ,47.65 ,46.17 ,47.28 ,51518.00 ,4584293.00
2012/11/02,47.59 ,47.59 ,46.65 ,46.65 ,27062.00 ,2419545.00
2012/11/05,46.49 ,46.86 ,45.86 ,46.07 ,28743.00 ,2526800.00
2012/11/06,46.59 ,47.28 ,46.33 ,47.28 ,32990.00 ,2934297.00
2012/11/07,47.28 ,47.65 ,46.96 ,47.54 ,41644.00 ,3744140.00
2012/11/08,47.28 ,47.86 ,46.80 ,47.86 ,52522.00 ,4721673.00
2012/11/09,47.49 ,48.44 ,47.28 ,48.12 ,50619.00 ,4605603.00
2012/11/12,47.86 ,47.86 ,47.01 ,47.38 ,41073.00 ,3694700.00
2012/11/13,47.38 ,47.54 ,46.07 ,46.17 ,32636.00 ,2893059.00
2012/11/14,47.54 ,47.80 ,47.12 ,47.28 ,49415.00 ,4451408.00
2012/11/15,47.07 ,47.65 ,47.07 ,47.43 ,31085.00 ,2801030.00
2012/11/16,47.54 ,47.80 ,46.96 ,47.22 ,30927.00 ,2785748.00
2012/11/19,47.54 ,47.59 ,46.96 ,46.96 ,16175.00 ,1452055.00
2012/11/20,47.70 ,47.70 ,47.17 ,47.33 ,20088.00 ,1808320.00
2012/11/21,47.33 ,47.65 ,46.65 ,46.91 ,28643.00 ,2544290.00
2012/11/22,47.38 ,47.38 ,46.86 ,46.86 ,16370.00 ,1461674.00
2012/11/23,47.38 ,48.44 ,47.28 ,48.44 ,61070.00 ,5565745.00
2012/11/26,48.96 ,49.33 ,48.75 ,48.86 ,43590.00 ,4054035.00
2012/11/27,48.86 ,48.96 ,48.59 ,48.86 ,31119.00 ,2884617.00
2012/11/28,48.65 ,49.17 ,48.49 ,49.12 ,49482.00 ,4597226.00
2012/11/29,49.33 ,49.70 ,48.91 ,48.96 ,58324.00 ,5465129.00
2012/11/30,49.22 ,49.65 ,49.01 ,49.07 ,48623.00 ,4553577.00
2012/12/03,49.33 ,50.01 ,49.33 ,49.86 ,50851.00 ,4811925.00
2012/12/04,49.86 ,50.38 ,49.54 ,50.17 ,48577.00 ,4613071.00
2012/12/05,49.54 ,50.17 ,49.22 ,50.01 ,36894.00 ,3492267.00
2012/12/06,50.01 ,50.28 ,49.65 ,49.75 ,32761.00 ,3106389.00
2012/12/07,49.96 ,50.44 ,49.54 ,50.28 ,57098.00 ,5434802.00
2012/12/10,50.59 ,50.65 ,49.86 ,50.59 ,41497.00 ,3969893.00
2012/12/11,50.80 ,50.86 ,49.22 ,50.01 ,82372.00 ,7838138.00
2012/12/12,50.75 ,50.80 ,50.33 ,50.33 ,52201.00 ,5010220.00
2012/12/13,50.38 ,50.59 ,50.01 ,50.54 ,35394.00 ,3386389.00
2012/12/14,49.49 ,49.49 ,47.91 ,48.17 ,124904.00 ,11576611.00
2012/12/17,45.70 ,46.75 ,45.54 ,45.91 ,161625.00 ,14128919.00
2012/12/18,46.33 ,46.54 ,46.17 ,46.54 ,62129.00 ,5471795.00
2012/12/19,46.86 ,46.86 ,46.49 ,46.65 ,46761.00 ,4146601.00
2012/12/20,46.65 ,46.70 ,46.28 ,46.38 ,46983.00 ,4111269.00
2012/12/21,46.38 ,46.38 ,45.54 ,45.80 ,58406.00 ,5084131.00
2012/12/22,46.17 ,46.54 ,45.91 ,46.38 ,17151.00 ,1505988.00
2012/12/24,46.33 ,46.33 ,45.96 ,46.22 ,14667.00 ,1287009.00
2012/12/25,46.33 ,46.75 ,46.22 ,46.75 ,17590.00 ,1553569.00
2012/12/26,46.86 ,46.96 ,46.59 ,46.59 ,15857.00 ,1406940.00
2012/12/27,46.59 ,46.96 ,46.59 ,46.86 ,21979.00 ,1953798.00
2012/12/28,47.38 ,47.38 ,46.65 ,46.80 ,21912.00 ,1951533.00
2013/01/02,47.12 ,47.33 ,46.65 ,46.70 ,34036.00 ,3041397.00
2013/01/03,47.07 ,47.22 ,46.70 ,46.91 ,34793.00 ,3101809.00
2013/01/04,46.49 ,46.80 ,46.22 ,46.33 ,42728.00 ,3769046.00
2013/01/07,46.33 ,46.33 ,45.64 ,45.70 ,47071.00 ,4102092.00
2013/01/08,45.70 ,46.07 ,45.54 ,45.80 ,45101.00 ,3912879.00
2013/01/09,46.22 ,46.59 ,45.91 ,46.22 ,28602.00 ,2507702.00
2013/01/10,46.54 ,46.65 ,46.01 ,46.65 ,41036.00 ,3615244.00
2013/01/11,47.12 ,47.22 ,46.65 ,46.65 ,32874.00 ,2924359.00
2013/01/14,46.54 ,46.59 ,45.59 ,45.91 ,53523.00 ,4670892.00
2013/01/15,45.54 ,45.54 ,44.22 ,44.33 ,107685.00 ,9146454.00
2013/01/16,43.96 ,44.80 ,43.80 ,44.22 ,73553.00 ,6182769.00
2013/01/17,44.75 ,44.91 ,44.07 ,44.17 ,37829.00 ,3195480.00
2013/01/18,44.70 ,44.96 ,44.49 ,44.96 ,34719.00 ,2952895.00
2013/01/21,44.75 ,44.86 ,44.43 ,44.54 ,18847.00 ,1598546.00
2013/01/22,44.64 ,45.22 ,44.59 ,44.96 ,29648.00 ,2531739.00
2013/01/23,45.38 ,45.38 ,44.75 ,44.75 ,28727.00 ,2461490.00
2013/01/24,43.96 ,44.01 ,43.33 ,43.43 ,89893.00 ,7449398.00
2013/01/25,43.33 ,43.91 ,43.28 ,43.91 ,33994.00 ,2813581.00
2013/01/28,43.85 ,44.12 ,43.85 ,44.01 ,16705.00 ,1396216.00
2013/01/29,44.22 ,44.75 ,44.17 ,44.70 ,32156.00 ,2722376.00
2013/01/30,44.91 ,44.96 ,44.64 ,44.70 ,22082.00 ,1877911.00
2013/01/31,44.38 ,44.70 ,44.38 ,44.43 ,20701.00 ,1750467.00
