年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2012/06/01,48.28,48.82,48.23,48.5,7533 
2012/06/04,48.23,48.5,48.23,48.34,10269 
2012/06/05,48.5,48.66,48.39,48.5,5734 
2012/06/06,48.55,48.93,48.44,48.87,5105 
2012/06/07,48.93,48.98,48.5,48.93,6705 
2012/06/08,48.55,48.77,48.39,48.61,9613 
2012/06/11,48.5,49.09,48.5,49.04,6345 
2012/06/12,48.93,49.04,48.71,48.77,4192 
2012/06/13,48.87,48.87,48.61,48.71,4412 
2012/06/14,49.04,49.04,48.66,48.66,6076 
2012/06/15,48.66,48.93,48.55,48.55,11253 
2012/06/18,48.82,48.98,48.61,48.87,8240 
2012/06/19,48.93,48.98,48.77,48.98,5665 
2012/06/20,49.04,49.31,48.93,49.31,7701 
2012/06/21,49.04,49.41,49.04,49.41,6963 
2012/06/22,49.31,49.41,49.04,49.2,5516 
2012/06/25,49.2,49.2,48.66,49.14,5511 
2012/06/26,49.14,49.58,49.04,49.58,8508 
2012/06/27,49.58,50.17,49.58,50.11,11447 
2012/06/28,50.28,50.49,50.01,50.01,8534 
2012/06/29,50.11,50.65,50.01,50.65,9924 
2012/07/02,50.65,50.65,50.38,50.6,6011 
2012/07/03,50.6,51.03,50.44,51.03,8300 
2012/07/04,51.19,51.25,51.08,51.19,9734 
2012/07/05,51.19,51.25,51.08,51.25,7831 
2012/07/06,51.3,51.3,51.03,51.3,8100 
2012/07/09,51.19,51.41,51.14,51.41,7581 
2012/07/10,51.46,51.62,51.3,51.52,12779 
2012/07/11,51.3,51.41,51.19,51.41,10219 
2012/07/12,51.3,51.3,50.33,50.44,16422 
2012/07/13,50.38,50.65,50.11,50.55,10672 
2012/07/16,50.65,50.76,50.44,50.55,24849 
2012/07/17,50.64,51.27,50.64,51.21,20702 
2012/07/18,51.44,51.56,51.16,51.16,11490 
2012/07/19,51.39,51.39,51.21,51.27,7112 
2012/07/20,51.27,51.27,51.1,51.27,5143 
2012/07/23,51.21,51.21,50.81,51.1,7555 
2012/07/24,51.16,51.16,50.81,50.81,9086 
2012/07/25,50.64,51.04,50.64,50.99,8193 
2012/07/26,50.93,50.99,50.24,50.53,17278 
2012/07/27,50.87,50.93,50.3,50.41,11888 
2012/07/30,50.36,50.7,50.36,50.59,7345 
2012/07/31,50.41,51.5,50.41,51.5,11377 
2012/08/01,50.99,51.16,50.81,50.87,5903 
2012/08/03,50.64,51.21,50.64,51.21,5248 
2012/08/06,51.44,51.5,51.1,51.21,7606 
2012/08/07,51.21,51.27,50.87,50.93,7195 
2012/08/08,51.1,51.16,50.7,50.7,8628 
2012/08/09,50.76,51.39,50.76,51.39,11852 
2012/08/10,51.44,51.5,51.04,51.44,8256 
2012/08/13,51.5,51.5,51.16,51.5,5672 
2012/08/14,51.5,51.73,51.33,51.62,6269 
2012/08/15,51.62,51.84,51.5,51.84,6701 
2012/08/16,51.73,51.9,51.62,51.73,4527 
2012/08/17,51.67,51.73,51.44,51.5,4641 
2012/08/20,51.5,51.5,51.33,51.33,2928 
2012/08/21,51.79,51.9,51.5,51.67,6431 
